Code,Indicator Name,Long definition,Source
SE.TER.CUAT.BA.MA.ZS,"Educational attainment, competed at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.BA.ZS,"Educational attainment, competed at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.MS.FE.ZS,"Educational attainment, competed at least Master's or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Master's or equivalent.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.MS.MA.ZS,"Educational attainment, competed at least Master's or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Master's or equivalent.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.MS.ZS,"Educational attainment, competed at least Master's or equivalent, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Master's or equivalent.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.ST.FE.ZS,"Educational attainment, competed at least short-cycle tertiary, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.ST.MA.ZS,"Educational attainment, competed at least short-cycle tertiary, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.ST.ZS,"Educational attainment, competed at least short-cycle tertiary, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.DO.FE.ZS,"Educational attainment, competed Doctoral or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.DO.MA.ZS,"Educational attainment, competed Doctoral or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.CUAT.DO.ZS,"Educational attainment, competed Doctoral or equivalent, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.HIAT.BA.FE.ZS,"Educational attainment, completed Bachelor's or equivalent, population 25+ years, female (%)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent as the highest level of education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.HIAT.BA.MA.ZS,"Educational attainment, completed Bachelor's or equivalent, population 25+ years, male (%)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent as the highest level of education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.HIAT.BA.ZS,"Educational attainment, completed Bachelor's or equivalent, population 25+ years, total (%)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent as the highest level of education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.HIAT.DO.FE.ZS,"Educational attainment, completed Doctoral or equivalent, population 25+ years, female (%)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent as the highest level of education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.HIAT.DO.MA.ZS,"Educational attainment, completed Doctoral or equivalent, population 25+ years, male (%)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent as the highest level of education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.TER.HIAT.DO.ZS,"Educational attainment, completed Doctoral or equivalent, population 25+ years, total (%)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent as the highest level of education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.HIAT.LO.FE.ZS,"Educational attainment, completed lower secondary, population 25+ years, female (%)",The percentage of population ages 25 and over that attained or completed lower secondary education as the highest level of education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.HIAT.LO.MA.ZS,"Educational attainment, completed lower secondary, population 25+ years, male (%)",The percentage of population ages 25 and over that attained or completed lower secondary education as the highest level of education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.SEC.HIAT.LO.ZS,"Educational attainment, completed lower secondary, population 25+ years, total (%)",The percentage of population ages 25 and over that attained or completed lower secondary education as the highest level of education.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
